dist,obs,p,s,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN,cutoff,Method
T,500,2000,0.5,0.05,94.5796,99.748,5.4078,0.252,5.539048096,OCP
T,500,2000,0.5,0.2,98.7488,96.998,0.6508,3.002,9.183535196,OCP
T,500,2000,0.75,0,91.232,NA,8.768,NA,6.133824298,OCP
T,500,2000,0.75,0.05,93.815,98.892,6.1296,1.108,6.593600572,OCP
T,500,2000,0.75,0.2,97.578,91.521,0.7262,8.479,11.00730415,OCP
Lognormal,100,100,0.1,0,92.909,NA,7.091,NA,49.00293142,RMDP
Lognormal,100,100,0.1,0.05,94.914,100,5.086,0,54.33704888,RMDP
Lognormal,100,100,0.1,0.2,99.292,100,0.708,0,102.8740119,RMDP
Lognormal,100,100,0.25,0,90.89,NA,9.11,NA,66.00014719,RMDP
Lognormal,100,100,0.25,0.05,93.223,100,6.777,0,72.91551164,RMDP
Lognormal,100,100,0.25,0.2,99.032,100,0.968,0,149.926615,RMDP
Lognormal,100,100,0.5,0,88.093,NA,11.907,NA,58.79133831,RMDP
Lognormal,100,100,0.5,0.05,91.224,100,8.776,0,66.76016271,RMDP
Lognormal,100,100,0.5,0.2,98.598,99.995,1.401,0.005,155.4127011,RMDP
Lognormal,100,100,0.75,0,85.777,NA,14.223,NA,24.14077689,RMDP
Lognormal,100,100,0.75,0.05,89.289,99.88,10.705,0.12,27.77669529,RMDP
Lognormal,100,100,0.75,0.2,97.956,98.79,1.802,1.21,75.89573203,RMDP
Lognormal,500,2000,0.1,0,94.492,NA,5.508,NA,85.0969848,RMDP
Lognormal,500,2000,0.1,0.05,96.1874,100,3.8126,0,91.6053551,RMDP
Lognormal,500,2000,0.1,0.2,99.6262,100,0.3738,0,149.0697323,RMDP
Lognormal,500,2000,0.25,0,91.1506,NA,8.8494,NA,81.75611397,RMDP
Lognormal,500,2000,0.25,0.05,93.5716,100,6.4284,0,89.16211394,RMDP
Lognormal,500,2000,0.25,0.2,99.145,100,0.855,0,156.120469,RMDP
Lognormal,500,2000,0.5,0,87.9326,NA,12.0674,NA,36.56187605,RMDP
Lognormal,500,2000,0.5,0.05,90.9568,99.984,9.0424,0.016,40.00151617,RMDP
Lognormal,500,2000,0.5,0.2,98.5292,99.836,1.438,0.164,85.43038044,RMDP
Lognormal,500,2000,0.75,0,85.3698,NA,14.6302,NA,7.752710588,RMDP
