dist,obs,p,s,cutoff,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN
T,500,1500,0.75,8.954174,0.05,96.1342,97.308,3.7312,2.692
T,354,1917,0,4.559835,0.05,96.12231638,100,3.877683616,0
T,354,1917,0.1,4.678747,0.05,96.2420904,100,3.757909605,0
T,354,1917,0.25,5.360069,0.05,96.48163842,100,3.518361582,0
T,354,1917,0.5,6.793317,0.05,96.16468927,99.97222222,3.833898305,0.027777778
T,354,1917,0.75,8.701328,0.05,96.05451977,98.42777778,3.865536723,1.572222222
T,500,2000,0,4.534513,0.05,96.1024,100,3.8976,0
T,500,2000,0.1,4.648694,0.05,96.1868,100,3.8132,0
T,500,2000,0.25,5.322437,0.05,96.3982,99.852,3.5944,0.148
T,500,2000,0.5,6.744082,0.05,96.1156,99.552,3.862,0.448
T,500,2000,0.75,8.618658,0.05,95.9472,98.248,3.9652,1.752
Lognormal,50,50,0,5.908253,0.2,98.652,100,1.348,0
Lognormal,50,50,0.1,6.312387,0.2,98.762,100,1.238,0
Lognormal,50,50,0.25,9.230073,0.2,98.798,99.47,1.096,0.53
Lognormal,50,50,0.5,17.71826,0.2,95.628,83.59,1.09,16.41
Lognormal,50,50,0.75,43.10547,0.2,90.478,57.33,0.988,42.67
Lognormal,50,100,0,5.189225,0.2,98.478,100,1.522,0
Lognormal,50,100,0.1,5.978595,0.2,98.678,100,1.322,0
Lognormal,50,100,0.25,9.248054,0.2,98.8,100,1.2,0
Lognormal,50,100,0.5,18.68066,0.2,98.396,98.19,1.242,1.81
Lognormal,50,100,0.75,48.289,0.2,95.398,83.28,1.258,16.72
Lognormal,100,100,0,5.595361,0.2,98.571,100,1.429,0
Lognormal,100,100,0.1,5.984619,0.2,98.704,100,1.296,0
Lognormal,100,100,0.25,8.565816,0.2,98.726,100,1.274,0
Lognormal,100,100,0.5,16.4405,0.2,98.53,99.185,1.307,0.815
Lognormal,100,100,0.75,40.80078,0.2,96.063,86.12,1.161,13.88
Lognormal,500,100,0.75,30,0.2,96.8622,90.069,1.1516,9.931
Lognormal,500,500,0.75,30,0.2,97.5724,95.876,1.6028,4.124
Lognormal,500,1000,0.75,30,0.2,97.7264,96.971,1.6678,3.029
Lognormal,500,1500,0.75,33,0.2,97.8378,96.604,1.483,3.396
Lognormal,354,1917,0,3.674127,0.2,98.65254237,100,1.347457627,0
Lognormal,354,1917,0.1,5.171998,0.2,98.96920904,100,1.03079096,0
Lognormal,354,1917,0.25,8.121019,0.2,98.66779661,100,1.33220339,0
Lognormal,354,1917,0.5,15.59099,0.2,98.44858757,99.97464789,1.546327684,0.025352113
