dist,obs,p,s,cutoff,percent_out,Percent_CC,Detect_R,Percent_FP,Percent_FN
T,500,1500,0.75,1.49613,0.05,96.5736,98.48,3.3504,1.52
T,354,1917,0,50,0.05,96.10141243,100,3.898587571,0
T,354,1917,0.1,14.56172,0.05,95.48248588,100,4.517514124,0
T,354,1917,0.25,6.5,0.05,96.13079096,100,3.86920904,0
T,354,1917,0.5,3,0.05,96.30706215,99.98888889,3.692372881,0.011111111
T,354,1917,0.75,1.3125,0.05,96.16949153,97.99444444,3.728531073,2.005555556
T,500,2000,0,52.5,0.05,95.6802,100,4.3198,0
T,500,2000,0.1,14.47072,0.05,95.221,100,4.779,0
T,500,2000,0.25,6.367188,0.05,95.9612,99.884,4.033,0.116
T,500,2000,0.5,2.928906,0.05,96.3142,99.972,3.6844,0.028
T,500,2000,0.75,1.3,0.05,96.3416,97.868,3.5518,2.132
Lognormal,50,50,0,40.625,0.2,96.924,100,3.076,0
Lognormal,50,50,0.1,63.3025,0.2,97.492,100,2.508,0
Lognormal,50,50,0.25,104.054597,0.2,97.966,100,2.034,0
Lognormal,50,50,0.5,148.2033477,0.2,98.232,99.98,1.764,0.02
Lognormal,50,50,0.75,103.3582886,0.2,97.7,97.46,1.792,2.54
Lognormal,50,100,0,40.625,0.2,97.058,100,2.942,0
Lognormal,50,100,0.1,69.93295,0.2,97.494,100,2.506,0
Lognormal,50,100,0.25,110.344709,0.2,97.85,100,2.15,0
Lognormal,50,100,0.5,150.7335938,0.2,98.188,100,1.812,0
Lognormal,50,100,0.75,93.7434834,0.2,97.866,98.37,1.808,1.63
Lognormal,100,100,0,30.3125,0.2,96.54,100,3.46,0
Lognormal,100,100,0.1,64.65125,0.2,97.861,100,2.139,0
Lognormal,100,100,0.25,100.45,0.2,97.907,100,2.093,0
Lognormal,100,100,0.5,129.6464571,0.2,98.191,99.995,1.808,0.005
Lognormal,100,100,0.75,77.8580592,0.2,97.976,98.57,1.738,1.43
Lognormal,500,100,0.75,67.5,0.2,98.149,98.699,1.5908,1.301
Lognormal,500,500,0.75,45,0.2,98.3484,99.617,1.575,0.383
Lognormal,500,1000,0.75,35,0.2,97.741,96.835,1.626,3.165
Lognormal,500,1500,0.75,30,0.2,97.7126,96.858,1.659,3.142
Lognormal,354,1917,0,85.4168,0.2,95.93361582,100,4.066384181,0
Lognormal,354,1917,0.1,85.4168,0.2,98.0567,100,1.94322,0
Lognormal,354,1917,0.25,117.5,0.2,98.37231638,100,1.627683616,0
Lognormal,354,1917,0.5,85,0.2,98.43870056,99.96901408,1.555084746,0.030985915
Lognormal,354,1917,0.75,28.25,0.2,97.8920904,97.45915493,1.598305085,2.54084507
Lognormal,500,2000,0,23.6875,0.2,96.8536,100,3.1464,0
Lognormal,500,2000,0.1,86.38969,0.2,97.9374,100,2.0626,0
Lognormal,500,2000,0.25,115,0.2,98.3184,100,1.6816,0
Lognormal,500,2000,0.5,80,0.2,98.3224,99.837,1.645,0.163
Lognormal,500,2000,0.75,25.5,0.2,97.6712,97.233,1.7754,2.767
Normal,50,50,0,2.5,0.2,96.924,100,3.076,0
Normal,50,50,0.1,2.847257,0.2,96.646,100,3.354,0
Normal,50,50,0.25,4.813691,0.2,97.388,100,2.612,0
Normal,50,50,0.5,8.3984375,0.2,98.46,98.6,1.26,1.4
Normal,50,50,0.75,7.4876183,0.2,92.462,66.04,0.746,33.96
Normal,50,100,0,2.5,0.2,96.48,100,3.52,0
Normal,50,100,0.1,3.344833,0.2,97.12,100,2.88,0
Normal,50,100,0.25,6.073904,0.2,97.744,100,2.256,0
Normal,50,100,0.5,9.3310547,0.2,98.55,98.46,1.142,1.54
Normal,50,100,0.75,6.8734357,0.2,92.714,66.91,0.668,33.09
Normal,100,100,0,1.937439,0.2,96.806,100,3.194,0
Normal,100,100,0.1,2.627075,0.2,96.608,100,3.392,0
Normal,100,100,0.25,4.892578,0.2,97.56,100,2.44,0
Normal,100,100,0.5,8.2836739,0.2,99.178,99.455,0.713,0.545
Normal,100,100,0.75,4.8681664,0.2,95.576,80.235,0.471,19.765
Normal,500,100,0.75,3.462148,0.2,97.752,90.605,0.369,9.395
Normal,500,500,0.75,2.117188,0.2,98.8304,95.969,0.3634,4.031
Normal,500,1000,0.75,1.597363,0.2,96.2402,83.123,0.3844,16.877
Normal,500,1500,0.75,1.292188,0.2,96.5128,84.972,0.4816,15.028
Normal,354,1917,0,1.4625,0.2,96.61581921,100,3.384180791,0
Normal,354,1917,0.1,5.626953,0.2,97.69265537,100,2.307344633,0
Normal,354,1917,0.25,7.4375,0.2,99.13418079,100,0.865819209,0
Normal,354,1917,0.5,4.3125,0.2,99.34124294,98.16760563,0.291242938,1.832394366
Normal,354,1917,0.75,1.212625,0.2,96.79067797,86.41267606,0.484180791,13.58732394
Normal,500,2000,0,1.546875,0.2,96.7478,100,3.2522,0
Normal,500,2000,0.1,5.720215,0.2,97.7616,100,2.2384,0
Normal,500,2000,0.25,7.626953,0.2,99.2382,100,0.7618,0
Normal,500,2000,0.5,4.101238,0.2,99.073,96.733,0.2736,3.267
Normal,500,2000,0.75,1.203613,0.2,96.5284,84.782,0.428,15.218
T,50,50,0,9.625,0.2,97.028,100,2.972,0
T,50,50,0.1,9.082947,0.2,97.304,100,2.696,0
T,50,50,0.25,8.264255,0.2,97.578,100,2.422,0
T,50,50,0.5,8.331787,0.2,97.442,96.44,1.846,3.56
T,50,50,0.75,7.285552,0.2,91.23,62.19,1.208,37.81
T,50,100,0,12.75,0.2,97.296,100,2.704,0
T,50,100,0.1,10.70105,0.2,97.154,100,2.846,0
T,50,100,0.25,9.097193,0.2,97.61,100,2.39,0
T,50,100,0.5,8.195312,0.2,97.712,97.27,1.742,2.73
T,50,100,0.75,6.517059,0.2,91.792,63.87,0.982,36.13
T,100,100,0,12.4375,0.2,97.042,100,2.958,0
T,100,100,0.1,10.94883,0.2,97.602,100,2.398,0
T,100,100,0.25,8.15625,0.2,97.754,100,2.246,0
T,100,100,0.5,6.752478,0.2,98.215,98.88,1.561,1.12
T,100,100,0.75,4.640869,0.2,94.449,77.51,1.053,22.49
T,500,100,0.75,3.517059,0.2,96.2422,86.975,1.1528,13.025
T,500,500,0.75,2.137206,0.2,97.4828,93.192,1.1556,6.808
T,500,1000,0.75,1.72655,0.2,97.8266,94.563,1.086,5.437
T,500,1500,0.75,1.49613,0.2,98.0702,95.626,1.055,4.374
T,354,1917,0,50,0.2,97.72316384,100,2.276836158,0
T,354,1917,0.1,14.56172,0.2,97.38446328,100,2.615536723,0
T,354,1917,0.25,6.5,0.2,98.11977401,100,1.880225989,0
T,354,1917,0.5,3,0.2,98.66779661,99.94366197,1.320903955,0.056338028
T,354,1917,0.75,1.3125,0.2,97.59548023,94,1.201129944,6
T,500,2000,0,52.5,0.2,97.3492,100,2.6508,0
T,500,2000,0.1,14.47072,0.2,97.2082,100,2.7918,0
T,500,2000,0.25,6.367188,0.2,98.0482,99.649,1.8816,0.351
T,500,2000,0.5,2.928906,0.2,98.6816,99.885,1.2954,0.115
T,500,2000,0.75,1.3,0.2,97.6264,93.974,1.1684,6.026
